Designator,Mid X,Mid Y,Layer,Rotation
BT1,131.000000mm,-62.141310mm,Top,0
C1,130.300000mm,-68.841310mm,Top,0
C2,130.525000mm,-73.841310mm,Top,180
C3,137.575000mm,-62.091310mm,Top,180
C4,137.600000mm,-66.241310mm,Top,180
C5,141.200000mm,-59.241310mm,Top,270
C6,143.300000mm,-67.591310mm,Top,270
C7,141.800000mm,-66.841310mm,Top,90
C8,144.800000mm,-65.341310mm,Top,270
C9,143.300000mm,-65.091310mm,Top,90
C10,141.300000mm,-64.341310mm,Top,270
C11,144.800000mm,-62.616310mm,Top,90
C12,143.250000mm,-62.166310mm,Top,90
C13,141.800000mm,-62.116310mm,Top,90
C14,142.800000mm,-58.616310mm,Top,90
C15,144.300000mm,-59.116310mm,Top,90
C16,144.800000mm,-67.841310mm,Top,90
R1,139.700000mm,-67.091310mm,Top,90
R2,142.012500mm,-70.691310mm,Top,270
R3,142.012500mm,-72.641310mm,Top,90
U1,138.237500mm,-71.241310mm,Top,180
U2,144.200000mm,-71.391310mm,Top,90
U3,138.300000mm,-58.716310mm,Top,270
Y1,130.450000mm,-71.441310mm,Top,90
