"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11,C9,C8,C15,C16,C10,C12,C14,C7,C13,C6";"C_01005_0402Metric";11;"0.1µF";;;
2;"U3";"DFN-6-1EP_3x3mm_P0.95mm_EP1.7x2.6mm";1;"LDO40LPU33RY";;;
3;"BT1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"3.7V Ultra-Thin LiPo Battery";;;
4;"R1";"R_0402_1005Metric";1;"10kΩ";;;
5;"C5,C3";"C_0603_1608Metric";2;"1µF";;;
6;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"32MHz";;;
7;"R2,R3";"R_0402_1005Metric";2;"4.7kΩ";;;
8;"C2,C1";"C_01005_0402Metric";2;"18pF";;;
9;"C4";"C_0603_1608Metric";1;"10µF";;;
10;"U2";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DS3";;;
11;"U1";"QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm";1;"nRF52820-QDxx";;;
